Sample in Buffer,Sample in Window,TRIGGER,Brik1_u/PilotImag[17:0],Brik1_u/PilotReal[17:0]
25450,25450,0,-55091,-124092
25451,25451,0,-55091,-124092
25452,25452,0,-79222,-95433
25453,25453,0,-79222,-95433
25454,25454,0,-79222,-95433
25455,25455,0,-79222,-95433
25456,25456,0,-94195,-84820
25457,25457,0,-94195,-84820
25458,25458,0,-94195,-84820
25459,25459,0,-94195,-84820
25460,25460,0,-97544,-57387
25461,25461,0,-97544,-57387
25462,25462,0,-97544,-57387
25463,25463,0,-97544,-57387
25464,25464,0,-103024,-55233
25465,25465,0,-103024,-55233
25466,25466,0,-103024,-55233
25467,25467,0,-103024,-55233
25468,25468,0,-110361,-52199
25469,25469,0,-110361,-52199
25470,25470,0,-110361,-52199
25471,25471,0,-110361,-52199
25472,25472,0,-110361,-52199
25473,25473,0,-110361,-52199
25474,25474,0,-110361,-52199
25475,25475,0,-110361,-52199
25476,25476,0,-93744,-86738
25477,25477,0,-93744,-86738
25478,25478,0,-93744,-86738
25479,25479,0,-93744,-86738
25480,25480,0,-64833,-116128
25481,25481,0,-64833,-116128
25482,25482,0,-64833,-116128
25483,25483,0,-64833,-116128
25484,25484,0,-23672,-119257
25485,25485,0,-23672,-119257
25486,25486,0,-23672,-119257
25487,25487,0,-23672,-119257
25488,25488,0,19068,-109508
25489,25489,0,19068,-109508
25490,25490,0,19068,-109508
25491,25491,0,19068,-109508
25492,25492,0,68677,-97616
25493,25493,0,68677,-97616
25494,25494,0,68677,-97616
25495,25495,0,68677,-97616
25496,25496,0,90647,-59269
25497,25497,0,90647,-59269
25498,25498,0,90647,-59269
25499,25499,0,90647,-59269
25500,25500,0,100461,-26430
25501,25501,0,100461,-26430
25502,25502,0,100461,-26430
25503,25503,0,100461,-26430
25504,25504,0,111104,10751
25505,25505,0,111104,10751
25506,25506,0,111104,10751
25507,25507,0,111104,10751
25508,25508,0,111104,10751
25509,25509,0,111104,10751
25510,25510,0,111104,10751
25511,25511,0,111104,10751
25512,25512,0,107495,66876
25513,25513,0,107495,66876
25514,25514,0,107495,66876
25515,25515,0,107495,66876
25516,25516,0,100134,86636
25517,25517,0,100134,86636
25518,25518,0,100134,86636
25519,25519,0,100134,86636
25520,25520,0,99424,78083
25521,25521,0,99424,78083
25522,25522,0,99424,78083
25523,25523,0,99424,78083
25524,25524,0,106154,80857
25525,25525,0,106154,80857
25526,25526,0,106154,80857
25527,25527,0,106154,80857
25528,25528,0,113982,50163
25529,25529,0,113982,50163
25530,25530,0,113982,50163
25531,25531,0,113982,50163
25532,25532,0,119355,20418
25533,25533,0,119355,20418
25534,25534,0,119355,20418
25535,25535,0,119355,20418
25536,25536,0,111969,-11175
25537,25537,0,111969,-11175
25538,25538,0,111969,-11175
25539,25539,0,111969,-11175
25540,25540,0,114108,-59972
25541,25541,0,114108,-59972
25542,25542,0,114108,-59972
25543,25543,0,114108,-59972
25544,25544,0,114108,-59972
25545,25545,0,114108,-59972
25546,25546,0,114108,-59972
25547,25547,0,114108,-59972
25548,25548,0,46339,-131072
25549,25549,0,46339,-131072
25550,25550,0,46339,-131072
25551,25551,0,46339,-131072
25552,25552,0,-3628,-131072
25553,25553,0,-3628,-131072
25554,25554,0,-3628,-131072
25555,25555,0,-3628,-131072
25556,25556,0,-70462,-119954
25557,25557,0,-70462,-119954
25558,25558,0,-70462,-119954
25559,25559,0,-70462,-119954
25560,25560,0,-114786,-89174
25561,25561,0,-114786,-89174
25562,25562,0,-114786,-89174
25563,25563,0,-114786,-89174
25564,25564,0,-120368,-35403
25565,25565,0,-120368,-35403
25566,25566,0,-120368,-35403
25567,25567,0,-120368,-35403
25568,25568,0,-124273,7628
25569,25569,0,-124273,7628
25570,25570,0,-124273,7628
25571,25571,0,-124273,7628
25572,25572,0,-112504,37325
25573,25573,0,-112504,37325
25574,25574,0,-112504,37325
25575,25575,0,-112504,37325
25576,25576,0,-101562,72050
25577,25577,0,-101562,72050
25578,25578,0,-101562,72050
25579,25579,0,-101562,72050
25580,25580,0,-94661,97570
25581,25581,0,-94661,97570
25582,25582,0,-94661,97570
25583,25583,0,-94661,97570
25584,25584,0,-94661,97570
25585,25585,0,-94661,97570
25586,25586,0,-94661,97570
25587,25587,0,-94661,97570
25588,25588,0,-60835,113567
25589,25589,0,-60835,113567
25590,25590,0,-60835,113567
25591,25591,0,-60835,113567
25592,25592,0,-52136,114772
25593,25593,0,-52136,114772
25594,25594,0,-52136,114772
25595,25595,0,-52136,114772
25596,25596,0,-49805,109548
25597,25597,0,-49805,109548
25598,25598,0,-49805,109548
25599,25599,0,-49805,109548
25600,25600,0,-51179,108602
25601,25601,0,-51179,108602
25602,25602,0,-51179,108602
25603,25603,0,-51179,108602
25604,25604,0,-56929,100452
25605,25605,0,-56929,100452
25606,25606,0,-56929,100452
25607,25607,0,-56929,100452
25608,25608,0,-50936,102599
25609,25609,0,-50936,102599
25610,25610,0,-50936,102599
25611,25611,0,-50936,102599
25612,25612,0,-42347,102264
25613,25613,0,-42347,102264
25614,25614,0,-42347,102264
25615,25615,0,-42347,102264
25616,25616,0,-30072,122208
25617,25617,0,-30072,122208
25618,25618,0,-30072,122208
25619,25619,0,-30072,122208
25620,25620,0,-30072,122208
25621,25621,0,-30072,122208
25622,25622,0,-30072,122208
25623,25623,0,-30072,122208
25624,25624,0,26000,131071
25625,25625,0,26000,131071
25626,25626,0,26000,131071
25627,25627,0,26000,131071
25628,25628,0,54166,129137
25629,25629,0,54166,129137
25630,25630,0,54166,129137
25631,25631,0,54166,129137
25632,25632,0,76498,103262
25633,25633,0,76498,103262
25634,25634,0,76498,103262
25635,25635,0,76498,103262
25636,25636,0,94226,93646
25637,25637,0,94226,93646
25638,25638,0,94226,93646
25639,25639,0,94226,93646
25640,25640,0,98962,67648
25641,25641,0,98962,67648
25642,25642,0,98962,67648
25643,25643,0,98962,67648
25644,25644,0,104073,58119
25645,25645,0,104073,58119
25646,25646,0,104073,58119
25647,25647,0,104073,58119
25648,25648,0,103573,43032
25649,25649,0,103573,43032
25650,25650,0,103573,43032
25651,25651,0,103573,43032
25652,25652,0,112249,50306
25653,25653,0,112249,50306
25654,25654,0,112249,50306
25655,25655,0,112249,50306
25656,25656,0,112249,50306
25657,25657,0,112249,50306
25658,25658,0,112249,50306
25659,25659,0,112249,50306
25660,25660,0,120129,54717
25661,25661,0,120129,54717
25662,25662,0,120129,54717
25663,25663,0,120129,54717
25664,25664,0,116145,55647
25665,25665,0,116145,55647
25666,25666,0,116145,55647
25667,25667,0,116145,55647
25668,25668,0,107717,66290
25669,25669,0,107717,66290
25670,25670,0,107717,66290
25671,25671,0,107717,66290
25672,25672,0,105550,59876
25673,25673,0,105550,59876
25674,25674,0,105550,59876
25675,25675,0,105550,59876
25676,25676,0,101818,68342
25677,25677,0,101818,68342
25678,25678,0,101818,68342
25679,25679,0,101818,68342
25680,25680,0,95048,64104
25681,25681,0,95048,64104
25682,25682,0,95048,64104
25683,25683,0,95048,64104
25684,25684,0,93509,69876
25685,25685,0,93509,69876
25686,25686,0,93509,69876
25687,25687,0,93509,69876
25688,25688,0,97070,65808
25689,25689,0,97070,65808
25690,25690,0,97070,65808
25691,25691,0,97070,65808
25692,25692,0,97070,65808
25693,25693,0,97070,65808
25694,25694,0,97070,65808
25695,25695,0,97070,65808
25696,25696,0,110724,72021
25697,25697,0,110724,72021
25698,25698,0,110724,72021
25699,25699,0,110724,72021
25700,25700,0,113783,72509
25701,25701,0,113783,72509
25702,25702,0,113783,72509
25703,25703,0,113783,72509
25704,25704,0,113384,52711
25705,25705,0,113384,52711
25706,25706,0,113384,52711
25707,25707,0,113384,52711
